index,year,year_rounded
1977.0,1,1977
1979.0,2,1979
1981.0,1,1981
1982.0,2,1982
1983.0,5,1983
1984.0,22,1984
1985.0,18,1985
1986.0,18,1986
1987.0,25,1987
1988.0,11,1988
1989.0,16,1989
1990.0,23,1990
1991.0,14,1991
1992.0,31,1992
1993.0,38,1993
1994.0,30,1994
1995.0,57,1995
1996.0,44,1996
1997.0,74,1997
1998.0,67,1998
1999.0,99,1999
2000.0,83,2000
2001.0,66,2001
2002.0,72,2002
2003.0,66,2003
2004.0,58,2004
2005.0,60,2005
2006.0,53,2006
2007.0,42,2007
2008.0,37,2008
2009.0,52,2009
2010.0,46,2010
2011.0,43,2011
2012.0,43,2012
2013.0,39,2013
2014.0,35,2014
2015.0,28,2015
2016.0,20,2016
2017.0,23,2017
2018.0,14,2018
